source_id,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
168450545792009600,600.1466,586.646,613.5245
184497471323752064,1319.8279,1277.6985,1369.6732
252878401557369088,2443.6519,2352.698,2519.473
276644757710014976,4128.382,3857.449,4402.5874
414196617287885312,2607.235,2499.728,2700.093
427234969757165952,3407.84,3262.4436,3550.2334
444752973131169664,5883.423,5484.5513,6301.0405
465628193526364416,5168.7217,4886.3296,5487.5684
465645515129855872,2473.9568,2406.57,2544.8572
511220031584305536,2740.1304,2597.4229,2877.874
518990967445248256,5648.2246,5216.058,6201.2065
519352324516039680,5563.6265,5248.0884,5991.6035
524677469790488960,5658.5684,5234.4067,6145.6973
524924310153249920,4527.0576,4322.5547,4850.6323
1978365123143522176,8518.012,7761.804,9599.76
1979911002134040960,1117.5298,1099.0605,1136.9066
1982359580155628160,1958.8258,1900.0535,2027.0062
2005653524280214400,3167.4092,3047.2979,3332.6724
2021785421455305344,8438.992,6744.409,10507.008
2026914849346539008,5610.7773,4761.5747,6645.741
2028089540103670144,12164.791,10002.854,14738.491
2031939548802102656,13692.617,11938.49,16453.44
2033989790047905024,8466.655,7374.865,10096.501
2034031438383765760,3341.7725,3117.0286,3593.47
2059383668236814720,2164.8872,2090.2837,2239.5312
2063791369815322752,2246.4055,1842.1162,2825.0574
2065653598916388352,8942.419,8174.374,9664.132
2067835682818358400,1671.1115,1631.2898,1717.2422
2070085317968809216,7681.6357,5974.811,9595.829
2083644392294059520,2296.1274,2217.8083,2366.2458
2162805896614571904,6208.102,5750.445,6622.6055
2178178409188167296,7249.578,6631.5503,8022.301
2201091578667140352,7315.116,6784.973,7996.5244
2207277877757956352,8907.021,8014.7446,10286.896
2935943990338336000,3025.5652,2751.7034,3337.043
3052677318793446016,5729.046,5274.151,6211.357
3131755947406031104,6293.5537,5798.7285,6891.2183
3131822364779745536,1745.9602,1699.0325,1814.5215
3423526544838563328,5975.9614,5365.549,6884.5845
3431561565357225088,1533.2568,1462.6346,1605.5363
3441207615229815040,1765.4119,1706.141,1831.2758
4040960662373474176,7460.871,5869.371,9613.221
4054559284753424000,4114.153,3494.0325,5799.1777
4056922105185686784,2012.3938,1847.8392,2172.5132
4060784345959549184,1215.508,1178.0566,1260.5671
4063908810076415872,2373.4287,2232.4102,2532.6438
4070770243676311936,5991.798,4508.4336,9078.527
4070968778561141760,7439.3853,5084.8633,10331.756
4097365235226829312,2335.2253,1708.9199,3248.5417
4104196427943626624,1901.2328,1847.0352,1970.8965
4146789141900648576,3953.6619,2706.776,5258.0103
4152643113595580416,4283.8755,2554.104,5760.8906
4155000844481174656,894.8812,790.5605,1104.3906
4155023796790984064,1942.533,1825.8368,2054.208
4253473896214500096,3879.1658,3680.419,4082.7747
4255891924062617088,7386.871,6600.535,8207.93
4256500538116700160,13724.3,10895.38,17751.84
4258160560148155648,4965.7944,4424.452,5639.2383
4258428501693172736,2551.8967,1992.2505,3402.0479
4259088994635370752,1650.4329,1339.159,2047.6625
4268774695647764352,4513.077,3843.4993,5611.925
4278536022438800640,4833.0103,3970.275,6900.942
4293406612283985024,6320.8223,5538.7407,7907.364
4306419980916246656,8045.845,3951.9343,10916.799
4309225217336733824,3170.2651,2466.2412,3996.0024
4309253392325650176,3462.8545,2571.9436,5005.523
4310118570535453696,8674.2705,3590.5085,12280.615
4310649153642824320,9385.818,7611.936,12286.726
4323316622779495680,4814.5503,3374.9272,6354.7695
4512787627579740032,9401.531,7913.1543,10764.702
5255509901121774976,4324.0635,4137.192,4603.395
5258414192353423360,3517.6284,3365.7556,3681.4539
5259009543533179648,3740.7244,3176.6985,4526.842
5311384333263075840,11254.567,10003.888,12576.547
5333660129603575808,1536.598,1457.0286,1756.7722
5334823859608495104,2049.01,1985.7327,2111.2825
5334851450481641088,8292.111,7309.1157,9416.815
5335021664274920576,7665.3247,5716.0894,9451.875
5336957010898124160,2883.5776,2808.4329,2990.0737
5337498593446516480,6752.4946,6297.3564,7431.1533
5337747731560719616,3281.7163,2992.9343,3593.3735
5339047221168787712,7061.8657,6498.516,7612.4453
5352018121173519488,5068.7266,4688.9,5552.9814
5489434710755238400,646.0797,637.63336,654.7211
5522306019626566528,2202.6177,2114.1313,2280.5964
5523448274762133632,973.55145,785.4933,1706.8677
5541793213959987968,5173.7285,4890.465,5496.2837
5548261400354128768,6656.3506,6131.59,7207.318
5597252305589385984,3289.3774,3152.1055,3408.2234
5613494119551805184,7607.0884,6812.276,8625.445
5620657678322625920,1969.4784,1901.437,2029.5931
5837600152935767680,208.60675,207.60204,209.87209
5854175187680510336,,,
5862285700835092352,5427.667,3947.475,7929.663
5862299960127967488,2167.0405,2112.464,2222.6743
5862928537183584768,5848.9243,5135.4336,6638.32
5863533199843070208,1850.7748,1801.8158,1906.996
5864664975280537728,1582.3639,1514.7637,1645.346
5878377736381364608,2224.2244,1813.8514,2861.979
5882543824607819776,,,
5883218164517055488,6439.0854,4601.283,9206.895
5884544931471259136,1317.673,1282.5757,1344.8452
5886085557746480000,5535.3643,5091.0376,5887.9526
5933976985766949376,6692.9224,5869.7295,8261.849
5934776158877214848,7154.235,5884.598,8667.592
5935509395659726592,2476.6138,2226.4104,2755.401
5940285090075838848,3699.7966,1786.2366,5046.274
5940576971716473344,12739.7705,10017.572,15872.169
5940777877435137024,7029.4146,5098.358,9806.712
5943166184173519744,6326.2095,4941.406,8815.772
5943246345430928512,2886.1062,2749.0388,3028.9373
5966213219190201856,1496.4989,1445.7438,1544.6216
5976382915813535232,1513.9932,1461.3417,1592.3752
5980409632300781056,7021.5576,4438.549,9765.323
6053076566300433920,3299.027,3117.0483,3471.596
6054569565614460800,3546.0981,3381.9048,3729.7097
6054778507172454912,6241.6606,4990.495,8211.024
6055103928246312960,443.52216,427.21436,460.94156
6060547335455660032,120.09891,118.22915,121.99124
