Mod_SpType,source_id
xkcd:purple,168450545792009600
xkcd:purple,184497471323752064
xkcd:green,252878401557369088
xkcd:green,276644757710014976
xkcd:green,414196617287885312
xkcd:purple,426558460884582016
xkcd:red,427234969757165952
xkcd:dark blue,444752973131169664
xkcd:dark blue,465628193526364416
xkcd:purple,465645515129855872
xkcd:green,511220031584305536
xkcd:dark purple,518990967445248256
xkcd:light purple,519352324516039680
xkcd:purple,524677469790488960
xkcd:bright green,524924310153249920
xkcd:black,1978365123143522176
xkcd:green,1979911002134040960
xkcd:red,1982359580155628160
xkcd:bright blue,2005653524280214400
xkcd:black,2021785421455305344
xkcd:red,2026914849346539008
xkcd:purple,2028089540103670144
xkcd:purple,2031939548802102656
xkcd:black,2033989790047905024
xkcd:grey,2034031438383765760
xkcd:blue,2059383668236814720
xkcd:purple,2063791369815322752
xkcd:dark blue,2065653598916388352
xkcd:black,2067835682818358400
xkcd:green,2070085317968809216
xckd:green,2083644392294059520
xkcd:purple,2162805896614571904
xkcd:light purple,2178178409188167296
xkcd:purple,2201091578667140352
xkcd:green,2207277877757956352
xkcd:red,2935943990338336000
xkcd:dark blue,3052677318793446016
xkcd:light green,3131755947406031104
xkcd:purple,3131822364779745536
xkcd:purple,3423526544838563328
xkcd:green,3431561565357225088
xkcd:bright blue,3441207615229815040
xkcd:blue,4040960662373474176
xkcd:blue,4054559284753424000
xkcd:blue,4056922105185686784
xkcd:green,4060784345959549184
xkcd:blue,4063908810076415872
xkcd:grey,4070770243676311936
xkcd:red,4070968778561141760
xkcd:red,4097365235226829312
xkcd:blue,4104196427943626624
xkcd:grey,4146789141900648576
xkcd:red,4152643113595580416
xkcd:purple,4155000844481174656
xkcd:purple,4155023796790984064
xkcd:grey,4156747212545110400
xckd:black,4253473896214500096
xkcd:green,4255891924062617088
xkcd:red,4256500538116700160
xkcd:blue,4258160560148155648
xkcd:red,4258428501693172736
xkcd:grey,4259088994635370752
xkcd:dark purple,4268774695647764352
xkcd:purple,4278536022438800640
xkcd:grey,4293406612283985024
xkcd:blue,4306419980916246656
xkcd:blue,4309225217336733824
xkcd:red,4309253392325650176
xkcd:purple,4310118570535453696
xkcd:green,4310649153642824320
xkcd:light purple,4323316622779495680
xkcd:green,4512787627579740032
xkcd:blue,5255509901121774976
xkcd:green,5258414192353423360
xkcd:bright green,5259009543533179648
xkcd:bright:green,5311384333263075840
xkcd:green,5333660129603575808
xkcd:red,5334823859608495104
xkcd:dark green,5334851450481641088
xkcd:purple,5335021664274920576
xkcd:dark blue,5336957010898124160
xkcd:blue,5337498593446516480
xkcd:black,5337747731560719616
xkcd:red,5339047221168787712
xkcd:purple,5352018121173519488
xkcd:dark purple,5489434710755238400
xkcd:blue,5522306019626566528
xkcd:green,5523448274762133632
xkcd:black,5541793213959987968
xkcd:purple,5548261400354128768
xkcd:purple,5597252305589385984
xkcd:dark blue,5613494119551805184
xkcd:red,5620657678322625920
xkcd:dark purple,5837600152935767680
xkcd:light purple,5854175187680510336
xkcd:purple,5862285700835092352
xkcd:dark blue,5862299960127967488
xkcd:green,5862928537183584768
xkcd:dark green,5863533199843070208
xkcd:purple,5864664975280537728
xkcd:red,5878377736381364608
xkcd:green,5882543824607819776
xkcd:black,5883218164517055488
xkcd:red,5884544931471259136
xkcd:red,5886085557746480000
xkcd:purple,5933976985766949376
xkcd:red,5934776158877214848
xkcd:blue,5935509395659726592
xkcd:green,5940285090075838848
xkcd:black,5940576971716473344
xkcd:green,5940777877435137024
xkcd:red,5943166184173519744
xkcd:red,5943246345430928512
xkcd:dark green,5966213219190201856
xkcd:blue,5976382915813535232
xkcd:grey,5980409632300781056
xkcd:red,6053076566300433920
xkcd:red,6054569565614460800
xkcd:grey,6054778507172454912
xkcd:purple,6055103928246312960
xkcd:dark purple,6060547335455660032
